Program|Prefix|length|symbology|card art|physical_barcode|app_barcode
7‑Eleven Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/7-eleven_logo.svg|UPC-A (physical), QR (app)
Ace Hardware Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/3/3e/Ace_Hardware_Logo.svg|Code 128 (physical), QR (app)
Aerie Real Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4b/American_Eagle_Outfitters_Logo.svg|QR only (app)
Albertsons / Safeway Just for U|Unknown|13|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3d/Safeway_Logo.svg|EAN‑13 (physical), QR (app)
AMC Stubs|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/8/8f/AMC_Theatres_logo.svg|Code 128 (physical), QR (app)
American Airlines AAdvantage|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/6/6e/American_Airlines_logo_2013.svg|No barcode (physical), QR (app)
Applebee’s Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/2/2f/Applebees_logo.svg|QR only (app)
AT&T Thanks Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/commons/0/0e/AT%26T_logo_2016.svg|QR only (app)
AutoZone Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4d/AutoZone_logo.svg|Code 128 (physical), QR (app)
Barnes & Noble Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/8/8b/Barnes_%26_Noble_logo.svg|Code 128 (physical), QR (app)
Bass Pro Shops Club|Payment BINs|16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/4/4d/Bass_Pro_Shops_logo.svg|Magstripe (physical), QR (app)
Bath & Body Works Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4d/Bath_%26_Body_Works_logo.svg|QR only (app)
Bed Bath & Beyond (legacy)|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/0/0f/Bed_Bath_%26_Beyond_logo.svg|Code 128 (physical), QR (app)
Best Buy Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/2/2e/Best_Buy_Logo.svg|Code 128 (physical), QR (app)
Big Lots Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/3/3d/Big_Lots_logo.svg|QR only (app)
BJ’s Wholesale Club|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/8/8e/BJs_Wholesale_Club_logo.svg|Code 128 (physical), QR (app)
Bloomingdale’s Loyallist|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/0/0c/Bloomingdale%27s_logo.svg|QR only (app)
Burger King Royal Perks|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/c/cc/Burger_King_2020_logo.svg|QR only (app)
Chevron Texaco Techron Advantage|Payment BINs|16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/4/4e/Chevron_Logo.svg|Magstripe (physical), QR (app)
Chipotle Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/5/5b/Chipotle_Mexican_Grill_logo.svg|QR only (app)
Circle K Easy Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Circle_K_logo_2016.svg|Code 128 (physical), QR (app)
Costco Membership|Unknown|12–16|Numeric|https://upload.wikimedia.org/wikipedia/commons/4/4d/Costco_Membership_Card.png|Code 128 (physical), QR (app)
CVS ExtraCare|11|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3f/CVS_Health_logo.svg|Code 128 (physical), QR (app)
Dairy Queen Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/1/1e/Dairy_Queen_logo.svg|QR only (app)
Delta SkyMiles|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/8/8f/Delta_Air_Lines_Logo.svg|No barcode (physical), QR (app)
Dick’s ScoreCard|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/7/7d/Dick%27s_Sporting_Goods_logo.svg|Code 128 (physical), QR (app)
Dillard’s Rewards|Payment BINs|16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/4/4e/Dillard%27s_logo.svg|Magstripe (physical), QR (app)
Domino’s Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/7/74/Dominos_pizza_logo.svg|QR only (app)
Dunkin’ DD Perks|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/3/33/Dunkin%27_logo.svg|QR only (app)
Exxon Mobil Rewards+|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/6/6f/Exxon_Mobil_Logo.svg|QR only (app)
Family Dollar Smart Coupons|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/0/0e/Family_Dollar_logo.svg|QR only (app)
Food Lion MVP|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/Food_Lion_logo.svg|UPC-A (physical), QR (app)
Foot Locker FLX|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Foot_Locker_logo.svg|QR only (app)
Frontier Miles|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/8/8f/Frontier_Airlines_logo.svg|No barcode (physical), QR (app)
GameStop PowerUp Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/GameStop_Logo.svg|Code 128 (physical), QR (app)
Gap Good Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/5/5c/Gap_logo.svg|QR only (app)
Giant Eagle Advantage Card|Unknown|12–13|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4d/Giant_Eagle_logo.svg|UPC-A (physical), QR (app)
GNC Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3e/GNC_logo.svg|Code 128 (physical), QR (app)
Golden Corral Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4e/Golden_Corral_logo.svg|QR only (app)
Great Clips Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/3/3e/Great_Clips_logo.svg|QR only (app)
H-E-B Points / H-E-B Go|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4a/HEB_logo.svg|UPC-A (physical), QR (app)
Hilton Honors|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/4/4e/Hilton_Honors_logo.svg|No barcode (physical), QR (app)
Hobby Lobby Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/0/0c/Hobby_Lobby_logo.svg|QR only (app)
Home Depot Pro Xtra|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/The_Home_Depot_logo.svg|QR only (app)
Hy-Vee Fuel Saver|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/7/7b/Hy-Vee_logo.svg|UPC-A (physical), QR (app)
IHG One Rewards|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/2/2b/InterContinental_Hotels_Group_logo.svg|No barcode (physical), QR (app)
JCPenney Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/8/8e/JCPenney_logo.svg|Code 128 (physical), QR (app)
JetBlue TrueBlue|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/3/3e/JetBlue_Airways_Logo.svg|No barcode (physical), QR (app)
Joann Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4b/Jo-Ann_Stores_logo.svg|Code 128 (physical), QR (app)
KFC Rewards (US)|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/5/5f/KFC_logo.svg|QR only (app)
Kohl’s Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4d/Kohl%27s_logo.svg|QR only (app)
Kroger Plus Card|Unknown|12–13|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4a/Kroger_logo.svg|UPC-A or EAN‑13 (physical), QR (app)
L.L.Bean Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/L.L.Bean_logo.svg|QR only (app)
Lands’ End Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/2/2a/Lands%27_End_logo.svg|QR only (app)
Lowe’s MVPs|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/0/0c/Lowes_Companies_Logo.svg|QR only (app)
Macy’s Star Rewards|Payment BINs|16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/5/5f/Macys_logo.svg|Magstripe (physical), QR (app)
Marriott Bonvoy|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/0/0c/Marriott_Bonvoy_logo.svg|No barcode (physical), QR (app)
Meijer mPerks|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Meijer_logo.svg|UPC-A (physical), QR (app)
Menards BIG Card|Payment BINs|16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/4/4f/Menards_logo.svg|Magstripe (physical), QR (app)
Michaels Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/0/0f/Michaels_stores_logo.svg|QR only (app)
Mobil Speedpass+|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/6/6f/Exxon_Mobil_Logo.svg|QR only (app)
Moe’s Rockin’ Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/8/8e/Moe%27s_Southwest_Grill_logo.svg|QR only (app)
Nike Membership|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/a/a6/Logo_NIKE.svg|QR only (app)
Noodles & Company Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4a/Noodles_%26_Company_logo.svg|QR only (app)
Nordstrom Nordy Club|Payment BINs|16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/5/5e/Nordstrom_Logo.svg|Magstripe (physical), QR (app)
Office Depot Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Office_Depot_logo.svg|Code 128 (physical), QR (app)
Old Navy Navyist Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/5/5c/Gap_logo.svg|QR only (app)
Olive Garden eClub|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4d/Olive_Garden_logo.svg|QR only (app)
Panera MyPanera|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4b/Panera_Bread_logo.svg|QR only (app)
Petco Pals Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Petco_logo.svg|Code 128 (physical), QR (app)
PetSmart Treats|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/2/2d/PetSmart_logo.svg|QR only (app)
Pizza Hut Rewards (US)|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/d/d2/Pizza_Hut_logo.svg|QR only (app)
Publix Club Publix|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4a/Publix_logo.svg|UPC-A (physical), QR (app)
Qdoba Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/3/3a/Qdoba_logo.svg|QR only (app)
QuikTrip QT Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/QuikTrip_logo.svg|Code 128 (physical), QR (app)
Raising Cane’s Caniac Club|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Raising_Cane%27s_logo.svg|Code 128 (physical), QR (app)
REI Co‑op Membership|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4a/REI_logo.svg|QR only (app)
Regal Crown Club|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Regal_Cinemas_logo.svg|Code 128 (physical), QR (app)
Rite Aid Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Rite_Aid_logo.svg|Code 128 (physical), QR (app)
Safeway Just for U (US)|Unknown|13|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3d/Safeway_Logo.svg|EAN‑13 (physical), QR (app)
Sam’s Club Membership|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Sam%27s_Club_logo.svg|Code 128 (physical), QR (app)
Sephora Beauty Insider|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/8/8c/Sephora_logo.svg|QR only (app)
Sheetz MySheetz|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Sheetz_logo.svg|Code 128 (physical), QR (app)
Shell Fuel Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4e/Shell_logo.svg|QR only (app)
Sherwin-Williams PaintPerks|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Sherwin-Williams_logo.svg|QR only (app)
ShopRite Price Plus Club|Unknown|12–13|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/ShopRite_logo.svg|UPC-A (physical), QR (app)
Sonic Drive‑In Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/3/3f/Sonic_Drive-In_logo.svg|QR only (app)
Southwest Rapid Rewards|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/4/4e/Southwest_Airlines_logo_2014.svg|No barcode (physical), QR (app)
Spirit Free Spirit|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Spirit_Airlines_logo.svg|No barcode (physical), QR (app)
Sprouts Farmers Market Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Sprouts_Farmers_Market_logo.svg|UPC-A (physical), QR (app)
Starbucks Rewards (US)|Stored-value BINs|16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/4/45/Starbucks_Corporation_Logo_2011.svg|Code 128 (physical), QR (app)
Staples Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Staples_logo.svg|Code 128 (physical), QR (app)
Subway MVP Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/5/5f/Subway_2016_logo.svg|QR only (app)
Target Circle|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/9/9a/Target_logo.svg|QR only (app)
Texas Roadhouse VIP Club|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4b/Texas_Roadhouse_logo.svg|QR only (app)
TGI Fridays Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/TGI_Fridays_logo.svg|QR only (app)
Tim Hortons Rewards (US)|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Tim_Hortons_logo.svg|QR only (app)
TJX Rewards (TJ Maxx / Marshalls / HomeGoods)|Payment BINs|16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/4/4f/TJX_Companies_logo.svg|Magstripe (physical), QR (app)
T-Mobile Tuesdays|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/5/5f/T-Mobile_logo_2022.svg|QR only (app)
Total Wine Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Total_Wine_%26_More_logo.svg|Code 128 (physical), QR (app)
Ulta Ultamate Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Ulta_Beauty_logo.svg|QR only (app)
United MileagePlus|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/6/6f/United_Airlines_logo_2010.svg|No barcode (physical), QR (app)
Valvoline Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Valvoline_logo.svg|QR only (app)
Verizon Up Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Verizon_2015_logo.svg|QR only (app)
Victoria’s Secret Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Victoria%27s_Secret_logo.svg|QR only (app)
Walgreens myWalgreens|11|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Walgreens_Logo.svg|Code 128 (physical), QR (app)
Walmart Rewards / Walmart+|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/c/ca/Walmart_logo.svg|QR only (app)
Wawa Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Wawa_logo.svg|Code 128 (physical), QR (app)
Wendy’s Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Wendy%27s_logo.svg|QR only (app)
Whataburger Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Whataburger_logo.svg|QR only (app)
Whole Foods Market Rewards (legacy)|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Whole_Foods_Market_logo.svg|UPC-A (physical), QR (app)
Wingstop Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Wingstop_logo.svg|QR only (app)
Winn-Dixie Rewards|Unknown|12–13|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Winn-Dixie_logo.svg|UPC-A (physical), QR (app)
Zaxby’s Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Zaxby%27s_logo.svg|QR only (app)

