Program|Prefix|length|symbology|card art
7-Eleven My 7-Eleven|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/4/4f/7-eleven_logo.svg
Accor Live Limitless (ALL)|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/0/0b/Accor_Live_Limitless_logo.svg
Adairs Linen Lovers|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/5/5e/Adairs_logo.png
AirAsia Rewards|N/A|Variable|App-based|https://upload.wikimedia.org/wikipedia/en/0/0c/AirAsia_New_Logo.svg
Amcal Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/Amcal_logo.png
Anaconda Adventure Club|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/Anaconda_logo.png
Autobarn AutoClub|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/5/5d/Autobarn_logo.png
Bakers Delight Dough Getters|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/1/1d/Bakers_Delight_logo.png
Barbeques Galore Flame Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4b/Barbeques_Galore_logo.png
BCF Club|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/5/5a/BCF_logo.png
Big W (Everyday Rewards)|9400,94009,940090|13–19|Numeric|https://upload.wikimedia.org/wikipedia/en/1/1d/Big_W_logo.svg
Boost Juice Vibe Club|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3e/Boost_Juice_logo.png
BP Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/5/5f/BP_logo_2016.svg
Bunnings PowerPass|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/0/0f/Bunnings_Warehouse_logo.svg
BWS On Tap|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/3/3d/BWS_logo.png
Camera House Club|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/8/8d/Camera_House_logo.png
Chemist Warehouse Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/8/8d/Chemist_Warehouse_logo.png
City Beach Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/3/3c/City_Beach_logo.png
Coles (Flybuys)|6014,601435,601436|16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/Flybuys_card.png
Costco Membership|Unknown|12–16|Numeric|https://upload.wikimedia.org/wikipedia/commons/4/4d/Costco_Membership_Card.png
Cotton On Perks|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Cotton_On_logo.svg
Dan Murphy’s My Dan’s|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/2/2a/My_Dans_Card.png
David Jones Rewards|Payment BINs|15–16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/3/3c/David_Jones_logo.png
Domino’s Rewards|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/7/74/Dominos_pizza_logo.svg
Donut King Royalty|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/6/6e/Donut_King_logo.png
EB Games Level Up|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/0/0d/EB_Games_logo.png
Everyday Rewards (Woolworths)|9400,94009,940090|13–19|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4e/Woolworths_Everyday_Rewards_Card.png
Event Cinemas Cinebuzz|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/8/8f/Event_Cinemas_logo.png
Fantastic Furniture Club|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4d/Fantastic_Furniture_logo.png
Farmers (AU stores)|N/A|Variable|Account-based|N/A
First Choice Liquor (Flybuys)|6014,601435,601436|16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/Flybuys_card.png
Flight Centre Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/5/5a/Flight_Centre_logo.svg
Flybuys|6014,601435,601436|16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/Flybuys_card.png
Freedom MyFreedom|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/2/2e/Freedom_Australia_logo.png
Gloria Jean’s eSipper Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4a/Gloria_Jean%27s_Coffees_logo.png
Grill’d Relish|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/5/5e/Grill%27d_logo.png
Guzman y Gomez GOMEX|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/8/8e/Guzman_y_Gomez_logo.png
Harvey Norman Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/2/2d/Harvey_Norman_logo.png
Hoyts Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/0/0c/Hoyts_logo.png
Hungry Jack’s Shake & Win|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/3/3e/Hungry_Jack%27s_logo.svg
IKEA Family (AU)|Unknown|16|Numeric|https://upload.wikimedia.org/wikipedia/en/5/5f/Ikea_logo.svg
JB Hi-Fi Perks|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/0/0d/JB_Hi-Fi_logo.svg
Kathmandu Summit Club|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/3/3d/Kathmandu_logo.svg
KFC Australia|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/5/5f/KFC_logo.svg
Kmart (Flybuys)|6014,601435,601436|16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/Flybuys_card.png
Liquorland (Flybuys)|6014,601435,601436|16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/Flybuys_card.png
McDonald’s MyMaccas|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/5/5f/McDonald%27s_Golden_Arches.svg
Michael Hill Brilliance|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/3/3e/Michael_Hill_logo.png
Millers Rewards|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/7/7a/Millers_logo.png
Mimco MIMCollective|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4d/Mimco_logo.png
Mitre 10 (AU)|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/0/0e/Mitre_10_logo.svg
Muffin Break Loyalty|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4e/Muffin_Break_logo.png
Myer One|7083,708310|16|Numeric|https://upload.wikimedia.org/wikipedia/en/8/8c/Myer_One_Card.png
Nando’s PERi-Perks|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/8/8b/Nandos_logo.svg
Officeworks Perks|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/4/4c/Officeworks_logo.png
Oporto Flame Rewards|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/3/3d/Oporto_logo.png
Petbarn Friends for Life|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/8/8e/Petbarn_logo.png
Petstock Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/9/9c/Petstock_logo.png
Pizza Hut Rewards|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/d/d2/Pizza_Hut_logo.svg
Priceline Sister Club|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/9/9d/Priceline_logo.png
Qantas Frequent Flyer|N/A|7–10|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/0/0b/Qantas_Frequent_Flyer_Card.png
Red Rooster Red Royalty|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Red_Rooster_logo.png
Repco Ignition|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/0/0a/Repco_logo.png
Sephora Beauty Pass (AU)|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/8/8c/Sephora_logo.svg
Shell Coles Express (Flybuys)|6014,601435,601436|16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/Flybuys_card.png
Starbucks Rewards (AU)|Stored-value BINs|16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/4/45/Starbucks_Corporation_Logo_2011.svg
Supercheap Auto Club Plus|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/7/7e/Supercheap_Auto_logo.png
Target (Flybuys)|6014,601435,601436|16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/Flybuys_card.png
TerryWhite Chemmart Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/1/1e/TerryWhite_Chemmart_logo.png
The Coffee Club Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/6/6e/Coffee_Club_logo.png
The Good Guys Concierge|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/4/4d/The_Good_Guys_logo.png
Vintage Cellars Wine Club|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4a/Vintage_Cellars_logo.png
Virgin Australia Velocity|N/A|8–10|Numeric|https://upload.wikimedia.org/wikipedia/en/1/1a/Virgin_Australia_Velocity_Card.png
Woolworths (Everyday Rewards)|9400,94009,940090|13–19|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4e/Woolworths_Everyday_Rewards_Card.png
Zambrero Zam Points|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/2/2d/Zambrero_logo.png
Zarraffa’s Z Card|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/5/5d/Zarraffas_Coffee_logo.png
AA Smartfuel / AA Rewards (NZ)|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4c/AA_New_Zealand_logo.png
Air New Zealand Airpoints|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/5/5d/Air_New_Zealand_Logo.svg
Briscoes Rewards (NZ)|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4f/Briscoes_logo.png
Countdown Onecard (NZ)|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3d/Countdown_logo.png
Farmers Club Card (NZ)|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/8/8e/Farmers_logo.png
Flybuys (NZ)|Similar to AU|16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/Flybuys_card.png
Kathmandu Summit Club (NZ)|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/3/3d/Kathmandu_logo.svg
Mitre 10 Club (NZ)|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/0/0e/Mitre_10_logo.svg
New World Clubcard (NZ)|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3c/New_World_logo.png
Noel Leeming Rewards (NZ)|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/8/8e/Noel_Leeming_logo.png
Pita Pit Club (NZ)|N/A|Variable|App-based|https://upload.wikimedia.org/wikipedia/en/4/4e/Pita_Pit_logo.png
Rebel Sport (NZ) Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/8/8a/Rebel_Sport_logo.svg
Smiths City Rewards (NZ)|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/6/6c/Smiths_City_logo.png
The Coffee Club NZ Rewards|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/6/6e/Coffee_Club_logo.png
The Warehouse MarketClub (NZ)|N/A|Variable|App-based|https://upload.wikimedia.org/wikipedia/en/4/4d/The_Warehouse_logo.png
Warehouse Stationery BlueBiz (NZ)|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/6/6e/Warehouse_Stationery_logo.png
Z Energy Pumped (NZ)|N/A|Variable|App-based|https://upload.wikimedia.org/wikipedia/en/4/4b/Z_Energy_logo.png
7-Eleven HK MoneyBack|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/4/4f/7-eleven_logo.svg
AEON HK Membership|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4e/Aeon_logo.svg
Cafe de Coral Bonus Point|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/8/8d/Cafe_de_Coral_logo.svg
Circle K OK Stamp It|N/A|Variable|App-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Circle_K_logo_2016.svg
CitySuper Privilege Program|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/3/3e/Citysuper_logo.png
Fortress iClub|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/7/7e/Fortress_logo.png
HKTVmall Club|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4d/HKTVmall_logo.png
KFC HK Club|N/A|Variable|App-based|https://upload.wikimedia.org/wikipedia/en/5/5f/KFC_logo.svg
Mannings Plus|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/7/7a/Mannings_logo.png
Maxim’s MX Club|N/A|Variable|App-based|https://upload.wikimedia.org/wikipedia/en/3/3f/Maxim%27s_logo.png
MoneyBack (HK)|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/MoneyBack_logo.png
Octopus Rewards|N/A|Variable|Card UID|https://upload.wikimedia.org/wikipedia/en/0/0c/Octopus_Card_logo.svg
ParknShop MoneyBack|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/MoneyBack_logo.png
Sasa VIP Club|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/8/8e/SaSa_logo.png
Starbucks Rewards HK|Stored-value BINs|16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/4/45/Starbucks_Corporation_Logo_2011.svg
Watsons HK Membership|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/6/6a/Watsons_logo.png
Wellcome MoneyBack|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3a/MoneyBack_logo.png
Aeon Card / WAON Point|Payment BINs|15–16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/4/4e/Aeon_logo.svg
Bic Camera Point Card|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/8/8e/Bic_Camera_logo.svg
Daiso Japan Membership|N/A|Variable|Account-based|https://upload.wikimedia.org/wikipedia/en/4/4f/Daiso_logo.png
Don Quijote (Donki) Majica|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/0/0e/Don_Quijote_logo.png
FamilyMart FamiPay|N/A|Variable|App QR|https://upload.wikimedia.org/wikipedia/en/3/3a/FamilyMart_logo.svg
Ito-Yokado Nanaco|N/A|Variable|Card UID|https://upload.wikimedia.org/wikipedia/en/3/3f/Nanaco_logo.png
JAL Mileage Bank|N/A|Variable|Alphanumeric|https://upload.wikimedia.org/wikipedia/en/4/4a/Japan_Airlines_logo.svg
JR East Suica|N/A|Variable|Card UID|https://upload.wikimedia.org/wikipedia/en/1/1e/Suica_logo.png
JR West ICOCA|N/A|Variable|Card UID|https://upload.wikimedia.org/wikipedia/en/8/8e/Icoca_logo.png
Lawson Ponta|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/3/3d/Ponta_logo.png
Muji Passport|N/A|Variable|App-based|https://upload.wikimedia.org/wikipedia/en/1/1e/Muji_logo.svg
Rakuten Point Card|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/4/4b/Rakuten_logo.svg
Seven & i Holdings Nanaco|N/A|Variable|Card UID|https://upload.wikimedia.org/wikipedia/en/3/3f/Nanaco_logo.png
Starbucks Rewards JP|Stored-value BINs|16|Payment PAN|https://upload.wikimedia.org/wikipedia/en/4/45/Starbucks_Corporation_Logo_2011.svg
T-Point Japan|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/5/5e/T-Point_logo.png
Uniqlo Membership|N/A|Variable|App-based|https://upload.wikimedia.org/wikipedia/en/0/0f/Uniqlo_logo.svg
Yodobashi Gold Point Card|Unknown|13–16|Numeric|https://upload.wikimedia.org/wikipedia/en/6/6a/Yodobashi_Camera_logo.svg

